name,age,gender,occupation,preferred_option,reasoning,purchase_likelihood,improvement
Logan Reid Mitchell,26,Identifies as Male (self-described man / masculine-aligned person who engages with skincare),Assistant Store Lead / Sales Associate,A,"Breakouts are my main concern (forehead/chin/T-zone); I want a product that fights active pimples and helps control pores/oil without adding steps. Prefer lightweight, fragrance-free, non-greasy/mattifying texture and drugstore price point.",7,"Make it a lightweight, non-greasy mattifying gel-serum with salicylic acid plus niacinamide, include clear frequency/usage instructions, and offer pump or single-use/sample packaging with a simple claim (e.g., 'fast-absorbing, oil-control acne serum')."
Owen Barrett Langley,25,"Identifies as Male; self-described man or masculine-aligned person who may still engage heavily with skincare, often with interest in performance, anti-acne or fragrance-free products.",IT Consultant / Systems Analyst,B,"Has the widest practical appeal and supports long-term skin health: strengthening the barrier reduces redness and sensitivity, lowers downstream reliance on reactive treatments, carries lower irritation risk, and is easy to recommend broadly (including to people with mild breakouts). It aligns with evidence-first buyers and my preferences for sustainability and ingredient transparency.",7,"Make the formula and claims fully transparent — publish the full INCI and target concentrations (e.g., specify a ceramide complex, cholesterol/fatty-acids balance, and efficacious % ranges for niacinamide or humectants) and pair that with a short clinical summary or dermatology endorsement."
Ethan Graham Whitaker,28,Male,Senior Software Engineer (Full Stack),B,"It addresses a wider, practical need (strengthening the skin barrier and reducing redness) and pairs well with routines people already use (retinoids, exfoliants, sunscreen). From an evidence and usage standpoint a barrier product reduces downstream problems (irritation, post-actives sensitivity) and therefore has broader appeal and repeat purchase potential than a niche acne serum or a 'glow' toner.",8,"Commit to transparency and evidence. Concretely, list concentrations of key actives (e.g., niacinamide % and the ceramide/cholesterol/FFA complex) on the (...)"
Ava Mae Thompson,28,Female (identifies as woman / femme-aligned),Shift Lead / Customer Service Associate,B,"Barrier Repair Cream matches my baseline dry, sensitive skin and need for a no-fuss product — soothes redness, helps skin hold moisture, and fits a short cleanse→moisturizer→SPF routine. I avoid harsh/active acne treatments and extra-step toners, so B feels most useful and trustworthy with familiar ingredients.",7,"Make it clearly fragrance-free and call out calming/repairing key ingredients on the front (ceramides, glycerin or hyaluronic acid, and a gentle occlusive), offer a travel/sample size or coupon, and use convenient pump/tube packaging."
Noah Elijah Rivera,21,"Identifies as Male; self-described man or masculine-aligned person who may still engage heavily with skincare, often with interest in performance, anti-acne or fragrance-free products.","Part-time Retail Associate, Gig Worker (food delivery and occasional rideshare)",A,"Immediate priority is fighting breakouts for oily, acne-prone skin; a serum with clinically proven actives (salicylic/low‑dose benzoyl peroxide, niacinamide) addresses the top pain point while wanting to avoid overdrying/irritation. Packaging, fragrance-free formulation, and a small trial size also matter.",7,"Add barrier-supporting ingredients (e.g., niacinamide or a light ceramide blend) so it treats breakouts without overdrying; offer a 15–30ml trial size and ensure fragrance-free pump/tube packaging."
Camila Ramirez,17,Identifies as Female (woman / femme-aligned),Full-time student (high school senior); occasional part-time retail/childcare work,A,"As an acne-prone teen who wants fast, visible results, Option A (Acne Control Serum) directly addresses my main problem—stopping active breakouts—with clinically proven actives. I'm also concerned about irritation, clear ingredient info, and price, so A feels most relevant versus a barrier cream or a cosmetic glow toner that might sting or worsen acne.",7,"Include a small, affordable starter/sample size that clearly shows the active % and provides instructions in Spanish and English for safe patch-testing"
Harper Elise Monroe,23,Identifies as Female (woman / femme-aligned),Retail Sales Associate (Beauty & Skincare) / Part-time Content Creator,A,"Chooses Option A (Acne Control Serum) because it directly targets oily, acne-prone skin and the promise of 'clinically proven actives' is persuasive. Notes risks of irritation/over-drying; views B as useful but less exciting for fast breakout control and C as potentially 'fluff' or irritating.",8,"Make it an 'acne-control + barrier-support' formula: keep a gentle active (e.g., gentle BHA or low-dose, well-formulated BP/retinoid pairing) and add calming/barrier helpers like niacinamide, panthenol, humectants (hyaluronic acid/glycerin) and a ceramide or squalane derivative. Also make it fragrance-free, state concentrations clearly, include layering/usage instructions, offer pump packaging, a lower-strength/starter option and travel/sample size, and price reasonably."
Sloane Claire Harrington,22,Identifies as Female / Femme-aligned,Founder & Content Creator / Freelance Social Media Consultant,B,"Most versatile and brand-safe: addresses common issues (redness/sensitivity, compromised barrier), pairs well with prescription/topical routines, appeals to a wide audience, drives repurchase, and supports educational content. Lower irritation risk and broader market fit than an acne serum or a one-off glow product.",8,"Make the formula fragrance-free, publish active concentrations (e.g., ceramides + niacinamide + panthenol), and use an airless pump or recyclable airless glass for hygiene and premium feel; consider offering lightweight gel and richer cream SKUs and a small trial size to reduce first-time buyer risk."
Imani Rochelle Davis,19,Identifies as Female (femme-aligned),Full-time undergraduate student; part-time pharmacy technician at an independent pharmacy (evenings/weekends),B,"Addresses my and many customers' core issue (redness, irritation, compromised barrier). Barrier support (ceramides, cholesterol, glycerin, gentle niacinamide) reduces redness, prevents flares, and lowers need for stronger prescription fixes. Option A (acne serum) and C (glow toner) risk irritation/tingling for reactive skin (acids/fragrance), so B is more practical and trustworthy for sensitive, redness-prone skin. Fragrance-free labeling, clear ingredient list, sample/travel size, and pharmacist/derm endorsement increase purchase willingness.",8,"Make the front label explicit and honest (e.g., “Fragrance-free • Ceramide-rich barrier repair”) and include small sample sachets or a travel size for patch-testing; add a pump/hygienic tube, highlight key ingredients (no essential oils, no alcohol denat), and offer a pharmacist/derm-backed claim or QR link to clinical data."
Hana Park,21,Female (self-described woman / femme-aligned),Part-time Sales Associate / Beauty Advisor,B,"A barrier-first product prevents downstream problems (reduces redness, fewer flares from actives, better tolerance of retinol/AHAs), aligns with her routine and ingredient beliefs, is lower risk than strong actives, and is broadly useful for normal/combination and sensitive-leaning skin types — likely to be repurchased regularly.",8,"Reformulate/position as a lightweight, fragrance-free gel-cream (no greasy finish) with transparent ingredient callouts (ceramides + cholesterol + a gentle % of niacinamide + panthenol/centella); include travel/sample sizes for patch-testing and clear directions on how to layer it with active treatments."
